model,description,min_price,avr_price,max_price
Lenovo Legion 5 15ACH6H (82JU00JQPB),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 5 5600H / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070, 8 ГБ GDDR6 / SSD: 1000 ГБ / 2,4 кг / ОС: DOS",59440,62941,70420
Lenovo Legion 5 15ACH6H (82JU00TLPB),"Ноутбук / Класичний / 15,6"" / IPS / 2560x1440 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 6GB GDDR6 / SSD: 1000 ГБ / 2,4 кг / ОС: Windows 11 Home",53830,55457,55999
ASUS TUF Dash F15 FX517ZM (FX517ZM-HN127W),"Ноутбук / Класичний / 15,6"" / EWV / 1920x1080 / Intel Core i7-12650H / 3,5 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 1000 ГБ / 2,0 кг / ОС: Windows 11 Home",56840,57279,57799
Acer Nitro 5 AN515-45 (NH.QBCEP.00P),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 5 5600H / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 1000 ГБ / 2,2 кг / ОС: Windows 11 Home",41099,44406,51639
ASUS TUF Gaming F15 FX506HM (FX506HM-HN017),"Ноутбук / Класичний / 15,6"" / EWW / 1920x1080 / Intel Core i5-11400H / 2,7 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 6 ГБ / SSD: 512 ГБ / 2,3 кг / ОС: DOS",44999,48973,53484
"ASUS Vivobook Pro 16X OLED M7601RM Black (M7601RM-MX048X, 90NB0YY2-M00350)","Ноутбук / Класичний / 16"" / OLED / 3200x2000 / AMD Ryzen 9 6900HX / 3,3 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3060, 6ГБ / SSD: 1000 ГБ / 2,3 кг / ОС: Windows 11 Pro",83893,89782,92889
GIGABYTE AORUS 5 SE4 (SE4-73EE213SH),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i7-12700H / 3,5 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3070 / SSD: 512 ГБ / 2,3 кг / ОС: Windows 11 Home",67099,69788,76994
Acer Nitro 5 AN515-46 (NH.QGZEP.008),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 7 6800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 512 ГБ / 2,41 кг / ОС: DOS",47320,49914,55154
Acer Predator Helios 300 PH315-55-70ZV (NH.QH8AA.001),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i7-12700H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ / SSD: 512 ГБ / 2,6 кг / ОС: Windows 11 Home",56200,58739,62505
Lenovo Legion 5 15ITH6H (82JH0055PB),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i5-11400H / 2,7 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR6 / SSD: 512 ГБ / 2,4 кг / ОС: DOS",45650,48442,55177
Lenovo Legion 5 Pro 16ITH6H Stingray (82JD00FFRA),"Ноутбук / Класичний / 16"" / IPS / 2560x1600 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR6 / SSD: 512 ГБ / 2,45 кг / ОС: DOS",65555,67777,69999
Lenovo Legion 5 Pro 16ARH7H Storm Grey (82RG00DNRM),"Ноутбук / Класичний / 16"" / IPS / 2560x1600 / AMD Ryzen 7 6800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR6 / SSD: 512 ГБ / 2,49 кг / ОС: DOS",64800,65024,65299
Lenovo Legion 7 16IAX7 (82TD0006US),"Ноутбук / Класичний / 16"" / IPS / 2560x1600 / Intel Core i9-12900HX / 1,7 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3080 Ti, 16 Гб GDDR6 / SSD: 2000 ГБ / 2.3 кг / ОС: Windows 11 Home",141750,156744,186732
ASUS ROG Strix G17 G713QR (G713QR-XS98),"Ноутбук / Класичний / 17,3"" / IPS / 1920x1080 / AMD Ryzen 9 5900HX / 3,3 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3070 8 ГБ / SSD: 1000 ГБ / 2,7 кг / ОС: Windows 10 Home",0,79199,0
Lenovo Legion 5 15ACH6H (82JU00YLRA),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6ГБ TGP 130W / SSD: 1000 ГБ / 2,4 кг / ОС: DOS",60016,63674,69560
ASUS TUF Gaming F17 FX707ZM (FX707ZM-HX016),"Ноутбук / Класичний / 17,3"" / IPS / 1920x1080 / Intel Core i7-12700H / 3,5 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 6 ГБ / SSD: 512 ГБ / 2,6 кг / ОС: DOS",0,60000,0
ASUS ROG Zephyrus M16 2022 GU603ZX (GU603ZX-K8026W),"Ноутбук / Класичний / 16"" / IPS / 2560x1600 / Intel Core i9-12900H / 2,5 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3080 Ti, 16 Гб / SSD: 1000 ГБ / 2 кг / ОС: Windows 11 Home",135700,140646,155875
Lenovo Legion 5 Pro 16IAH7H (82RF0009US),"Ноутбук / Класичний / 16"" / IPS / 2560x1600 / Intel Core i7-12700H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ / SSD: 2000 ГБ / 2,49 кг / ОС: Windows 11 Home",74000,74706,74999
ASUS ROG Strix SCAR 17 G733ZX (G733ZX-KH036W),"Ноутбук / Класичний / 17,3"" / IPS / 1920x1080 / Intel Core i9-12900H / 3,8 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3080Ti 16GB 150W / SSD: 1000 ГБ / 2,9 кг / ОС: Windows 11 Home",128200,136242,155875
Lenovo Legion 5 15ARH7H (82RD0068PB),"Ноутбук / Класичний / 15,6"" / IPS / 2560x1440 / AMD Ryzen 7 6800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070 / SSD: 512 ГБ / 2,4 кг / ОС: DOS",66999,69793,73901
ASUS ROG Zephyrus G15 2022 GA503RM (GA503RM-HQ009W),"Ноутбук / Класичний / 15,6"" / EWV / 2560x1440 / AMD Ryzen 7 6800HS / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 1000 ГБ / 1,90 кг / ОС: Windows 11 Home",66540,72565,79946
